"ACCOUNT","ACCOUNT NAME","ORG"," "," ","BEG. BALANCE","DEBITS","CREDITS","NET CHANGE","END BALANCE"
"PER","JNL","SRC","EFF DATE","REFERENCE"
"*10","   711","FAA","04/14/25","       ASSET ACQN                  "," ","                 .00","           10,786.91","         -743,729.58"
"*10","   713","FAA","04/03/25","       ASSET ACQN                  "," ","                 .00","           28,089.00","         -771,818.58"
"*11","   540","FAM","05/28/25","       ASSET MAINT                 "," ","                 .00","           16,651.85","         -788,470.43"
"*12","   654","FAM","06/24/25","       ASSET MAINT                 "," ","                 .00","              405.00","         -788,875.43"
"*12","   666","FAA","06/27/25","       ASSET ACQN                  "," ","                 .00","          213,287.56","       -1,002,162.99"
"*12","   672","FAM","06/18/25","       ASSET MAINT                 "," ","                 .00","              500.00","       -1,002,662.99"
"*12","   673","FAM","06/18/25","       ASSET MAINT                 "," ","                 .00","              500.00","       -1,003,162.99"
"*12","   674","FAM","06/18/25","       ASSET MAINT                 "," ","                 .00","              500.00","       -1,003,662.99"
"*12","   675","FAM","06/23/25","       ASSET MAINT                 "," ","                 .00","           19,398.25","       -1,023,061.24"
"*12","   676","FAM","06/23/25","       ASSET MAINT                 "," ","                 .00","           19,398.25","       -1,042,459.49"
"*12","   677","FAM","06/23/25","       ASSET MAINT                 "," ","                 .00","           20,094.80","       -1,062,554.29"
"*12","   680","FAM","06/04/25","       ASSET MAINT                 "," ","                 .00","            6,184.15","       -1,068,738.44"
" "," "," "," "," ","     -109,915,018.49","           31,399.00","        1,100,137.44","       -1,068,738.44","     -110,983,756.93"
"80200    4880                                          ","Gain/Loss - Sale of Cap Assets","__80200   "," "," ","                 .00"
"* 8","   159","FAR","02/04/25","       ASSET DISP                  "," ","                 .00","           26,590.00","          -26,590.00"
"* 8","   718","FAR","02/13/25","       ASSET DISP                  "," ","                 .00","            4,809.00","          -31,399.00"
" "," "," "," "," ","                 .00","                 .00","           31,399.00","          -31,399.00","          -31,399.00"
"80300    4880                                          ","Gain/Loss - Sale of Cap Assets","__80300   "," "," ","                 .00"
"*10","   712","FAR","04/22/25","       ASSET DISP                  "," ","            1,409.89","                 .00","            1,409.89"
" "," "," "," "," ","                 .00","            1,409.89","                 .00","            1,409.89","            1,409.89"
"80300    6810                                          ","Depreciation Expense          ","__80300   "," "," ","                 .00"
"*10","   712","FAD","04/22/25","       ASSET DISP                  "," ","           14,098.87","                 .00","           14,098.87"
" "," "," "," "," ","                 .00","           14,098.87","                 .00","           14,098.87","           14,098.87"
"80500    7998                                          ","Cap Outlay-CIP Contra Account ","__80500   "," "," ","                 .00"
"* 6","   130","FAA","12/09/24","       ASSET ACQN                  "," ","                 .00","        1,068,632.15","       -1,068,632.15"
" "," "," "," "," ","                 .00","                 .00","        1,068,632.15","       -1,068,632.15","       -1,068,632.15"
















































